** File generated by WinEP - 3/26/2018 (11:30a) **

Station 	Vx      
100.000000	39.974277
100.277481	39.938389
100.554741	39.901890
100.831825	39.864826
101.108734	39.827351
101.385475	39.789577
101.662048	39.751682
101.938446	39.713840
102.214653	39.676235
102.490654	39.639038
102.766426	39.602436
103.041946	39.566528
103.317207	39.531399
103.592186	39.497070
103.866875	39.463512
104.141273	39.430691
104.415382	39.398544
104.689209	39.367027
104.962776	39.336086
105.236099	39.305687
105.509186	39.275818
105.782074	39.246494
106.054771	39.217754
106.327293	39.189655
106.599655	39.162262
106.871872	39.135651
107.143936	39.109882
107.415855	39.085018
107.687630	39.061096
107.959251	39.038132
108.230713	39.016113
108.502014	38.995010
108.773155	38.974785
109.044128	38.955387
109.314941	38.936771
109.585602	38.918896
109.856117	38.901711
110.126503	38.885174
110.396767	38.869270
110.666924	38.853992
110.936981	38.839352
111.206963	38.825375
111.476868	38.812103
111.746704	38.799572
112.016487	38.787819
112.286201	38.776867
112.555855	38.766735
112.825447	38.757416
113.094971	38.748898
113.364426	38.741150
113.633812	38.734127
113.903137	38.727795
114.172394	38.722095
114.441589	38.716988
114.710739	38.712429
114.979836	38.708378
115.248901	38.704792
115.517944	38.701660
115.786964	38.698967
116.055984	38.696728
116.324997	38.695290
116.594032	38.695774
116.863091	38.697960
117.132195	38.701851
117.401344	38.707417
117.670555	38.714485
117.939827	38.722481
118.209152	38.731133
118.478531	38.740273
118.747963	38.749756
119.017448	38.759094
119.286964	38.767601
119.556519	38.775719
119.826096	38.783489
120.095711	38.790913
120.365356	38.797981
120.635048	38.804691
120.904778	38.811050
121.174561	38.817081
121.444389	38.822811
121.714272	38.828289
121.984207	38.833549
122.254196	38.838634
122.524231	38.843575
122.794304	38.848385
123.064407	38.853081
123.334549	38.857655
123.604706	38.862099
123.874886	38.866394
124.145088	38.870506
124.415291	38.874420
124.685516	38.878101
124.955750	38.881523
125.225990	38.884663
125.496246	38.887493
125.766525	38.890022
126.036819	38.892250
126.307144	38.894199
126.577484	38.895897
126.847847	38.897377
127.118233	38.898670
127.388634	38.899803
127.659058	38.900795
127.929482	38.901653
128.199921	38.902386
128.470352	38.902988
128.740784	38.903442
129.011200	38.903740
129.281616	38.903854
129.552017	38.903767
129.822403	38.903461
130.092773	38.902920
130.363144	38.902119
130.633499	38.901054
130.903839	38.899727
131.174179	38.898155
131.444519	38.896351
131.714844	38.894341
131.985168	38.892155
132.255493	38.889809
132.525803	38.887321
132.796082	38.884708
133.066360	38.881966
133.336609	38.879097
133.606842	38.876099
133.877045	38.872948
134.147217	38.869640
134.417343	38.866154
134.687454	38.862480
134.957520	38.858597
135.227554	38.854496
135.497559	38.850166
135.767532	38.845612
136.037476	38.840832
136.307388	38.835842
136.577271	38.830666
136.847107	38.825314
137.116928	38.819813
137.386719	38.814175
137.656464	38.808411
137.926163	38.802528
138.195831	38.796528
138.465454	38.790405
138.735031	38.784153
139.004547	38.777760
139.274017	38.771214
139.543442	38.764503
139.812805	38.757618
140.082123	38.750546
140.351379	38.743275
140.620575	38.735806
140.889740	38.728142
141.158844	38.720295
141.427887	38.712269
141.696884	38.704086
141.965820	38.695759
142.234711	38.687305
142.503540	38.678730
142.772324	38.670040
143.041031	38.661243
143.309677	38.652332
143.578262	38.643307
143.846786	38.634159
144.115234	38.624882
144.383606	38.615459
144.651917	38.605888
144.920151	38.596161
145.188324	38.586262
145.456406	38.576195
145.724426	38.565960
145.992386	38.555557
146.260269	38.544998
146.528076	38.534298
146.795807	38.523464
147.063461	38.512508
147.331055	38.501442
147.598572	38.490273
147.865997	38.479004
148.133362	38.467632
148.400635	38.456158
148.667816	38.444576
148.934921	38.432880
149.201950	38.421421
149.468887	38.410793
149.735764	38.400307
150.002563	38.389706
150.269272	38.378731
150.535919	38.367130
150.802460	38.354633
151.068924	38.340950
151.335281	38.325756
151.601517	38.308701
151.867615	38.289276
152.133560	38.267963
152.399353	38.245625
152.664978	38.222607
152.930435	38.199131
153.195740	38.175354
153.460876	38.151379
153.725861	38.127277
153.990692	38.103100
154.255356	38.078884
154.519867	38.054653
154.784210	38.030426
155.048401	38.006203
155.312424	37.981987
155.576263	37.957775
155.839951	37.933559
156.103455	37.909332
156.366791	37.885078
156.629944	37.860790
156.892914	37.836456
157.155731	37.812069
157.418350	37.787617
157.680817	37.763103
157.943100	37.738537
158.205215	37.713924
158.467148	37.689285
158.728928	37.664635
158.990540	37.639992
159.251984	37.615376
159.513245	37.590794
159.774353	37.566254
160.035278	37.541763
160.296051	37.517315
160.556625	37.492905
160.817047	37.468521
161.077286	37.444153
161.337357	37.419781
161.597244	37.395397
161.856964	37.370987
162.116516	37.346542
162.375900	37.322056
162.635101	37.297531
162.894135	37.272972
163.153000	37.248386
163.411713	37.223789
163.670242	37.199192
163.928604	37.174614
164.186798	37.150059
164.444824	37.125538
164.702682	37.101051
164.960373	37.076603
165.217880	37.052193
165.475220	37.027809
165.732391	37.003452
165.989380	36.979107
166.246201	36.954769
166.502853	36.930431
166.759323	36.906078
167.015625	36.881714
167.271759	36.857330
167.527725	36.832932
167.783524	36.808525
168.039154	36.784115
168.294617	36.759716
168.549911	36.735336
168.805038	36.710983
169.059998	36.686665
169.314789	36.662380
169.569412	36.638134
169.823853	36.613926
170.078140	36.589752
170.332245	36.565605
170.586197	36.541485
170.839966	36.517380
171.093567	36.493282
171.346985	36.469193
171.600250	36.445103
171.853348	36.421009
172.106262	36.396915
172.359024	36.372818
172.611618	36.348732
172.864029	36.324657
173.116287	36.300606
173.368393	36.276585
173.620316	36.252598
173.872070	36.228645
174.123672	36.204739
174.375092	36.180870
174.626358	36.157040
174.877457	36.133251
175.128372	36.109489
175.379135	36.085758
175.629730	36.062050
175.880142	36.038361
176.130402	36.014683
176.380493	35.991016
176.630432	35.967361
176.880188	35.943718
177.129791	35.920090
177.379227	35.896477
177.628494	35.872890
177.877594	35.849335
178.126541	35.825817
178.375336	35.802334
178.623947	35.778896
178.872406	35.755497
179.120697	35.732147
179.368835	35.708836
179.616806	35.685566
179.864609	35.662331
180.112244	35.639126
180.359726	35.615955
180.607040	35.592812
180.854187	35.569687
181.101181	35.546589
181.348007	35.523510
181.594681	35.500454
181.841187	35.477421
182.087540	35.454418
182.333725	35.431446
182.579758	35.408516
182.825638	35.385624
183.071350	35.362774
183.316895	35.339970
183.562302	35.317215
183.807541	35.294502
184.052612	35.271835
184.297531	35.249214
184.542297	35.226631
184.786896	35.204090
185.031342	35.181583
185.275635	35.159111
185.519760	35.136669
185.763748	35.114262
186.007553	35.091885
186.251221	35.069538
186.494720	35.047226
186.738083	35.024952
186.981277	35.002716
187.224319	34.980522
187.467209	34.958370
187.709946	34.936272
187.952530	34.914215
188.194962	34.892212
188.437241	34.870258
188.679352	34.848351
188.921326	34.826496
189.163147	34.804684
189.404800	34.782917
189.646317	34.761192
189.887680	34.739510
190.128891	34.717869
190.369934	34.696266
190.610840	34.674706
190.851608	34.653179
191.092209	34.631699
191.332672	34.610260
191.572968	34.588867
191.813141	34.567520
192.053146	34.546223
192.293015	34.524975
192.532730	34.503777
192.772293	34.482635
193.011719	34.461544
193.250992	34.440506
193.490112	34.419521
193.729095	34.398590
193.967926	34.377705
194.206619	34.356873
194.445160	34.336086
194.683563	34.315350
194.921814	34.294659
195.159927	34.274017
195.397888	34.253422
195.635712	34.232872
195.873383	34.212372
196.110931	34.191921
196.348328	34.171524
196.585571	34.151176
196.822678	34.130886
197.059647	34.110649
197.296478	34.090469
197.533173	34.070343
197.769714	34.050278
198.006134	34.030266
198.242401	34.010311
198.478531	33.990414
198.714523	33.970573
198.950378	33.950783
199.186096	33.931049
199.421661	33.911369
199.657104	33.891743
199.892410	33.872169
200.127579	33.852650
200.362610	33.833187
200.597504	33.813774
200.832260	33.794422
201.066879	33.775124
201.301376	33.755882
201.535736	33.736702
201.769958	33.717583
202.004059	33.698521
202.238007	33.679520
202.471832	33.660580
202.705536	33.641701
