** File generated by WinEP - 3/29/2018 (11:19a) **

Station 	Vx      
100.000000	19.987139
100.138687	19.952908
100.277145	19.918495
100.415405	19.883854
100.553459	19.849041
100.691322	19.814138
100.828995	19.779242
100.966461	19.744455
101.103729	19.709900
101.240784	19.675697
101.377609	19.641926
101.514206	19.608753
101.650566	19.576204
101.786682	19.544346
101.922554	19.513222
102.058182	19.482866
102.193573	19.453308
102.328735	19.424564
102.463676	19.396639
102.598419	19.369530
102.732971	19.343241
102.867348	19.317785
103.001556	19.293179
103.135620	19.269447
103.269539	19.246622
103.403320	19.224730
103.536972	19.203789
103.670486	19.183805
103.803886	19.164780
103.937149	19.146704
104.070297	19.129557
104.203308	19.113316
104.336205	19.097950
104.468987	19.083433
104.601654	19.069736
104.734215	19.056833
104.866676	19.044699
104.999054	19.033316
105.131348	19.022675
105.263580	19.012770
105.395752	19.003613
105.527870	18.995211
105.659950	18.987583
105.791985	18.980743
105.923988	18.974699
106.055969	18.969461
106.187912	18.965027
106.319832	18.961388
106.451721	18.958530
106.583588	18.956436
106.715439	18.955076
106.847267	18.954424
106.979080	18.954451
107.110886	18.955126
107.242691	18.956423
107.374496	18.958315
107.506317	18.960777
107.638153	18.963795
107.770020	18.967356
107.901917	18.971455
108.033852	18.976095
108.165833	18.981276
108.297859	18.986996
108.429932	18.993252
108.562057	19.000038
108.694237	19.007345
108.826469	19.015156
108.958748	19.023453
109.091087	19.032215
109.223480	19.041416
109.355934	19.051031
109.488449	19.061033
109.621017	19.071398
109.753662	19.082100
109.886368	19.093115
110.019157	19.104420
110.152016	19.115999
110.284966	19.127840
110.417999	19.139938
110.551125	19.152288
110.684341	19.164886
110.817650	19.177734
110.951050	19.190823
111.084557	19.204144
111.218147	19.217690
111.351837	19.231449
111.485626	19.245405
111.619507	19.259544
111.753479	19.273844
111.887543	19.288286
112.021706	19.302853
112.155968	19.317522
112.290321	19.332277
112.424774	19.347097
112.559334	19.361965
112.693985	19.376869
112.828751	19.391796
112.963615	19.406740
113.098595	19.421700
113.233673	19.436672
113.368866	19.451656
113.504158	19.466648
113.639565	19.481640
113.775078	19.496628
113.910690	19.511604
114.046402	19.526554
114.182220	19.541471
114.318138	19.556339
114.454163	19.571144
114.590279	19.585875
114.726486	19.600513
114.862801	19.615049
114.999207	19.629469
115.135719	19.643755
115.272324	19.657902
115.409019	19.671902
115.545822	19.685753
115.682724	19.699450
115.819717	19.712996
115.956810	19.726389
116.093994	19.739628
116.231277	19.752712
116.368652	19.765638
116.506111	19.778399
116.643661	19.790987
116.781288	19.803398
116.919006	19.815622
117.056801	19.827648
117.194679	19.839468
117.332642	19.851072
117.470673	19.862452
117.608780	19.873596
117.746964	19.884499
117.885223	19.895155
118.023560	19.905563
118.161964	19.915726
118.300446	19.925642
118.438988	19.935314
118.577606	19.944748
118.716293	19.953941
118.855034	19.962894
118.993843	19.971605
119.132713	19.980076
119.271637	19.988297
119.410622	19.996267
119.549652	20.003983
119.688736	20.011436
119.827866	20.018623
119.967041	20.025537
120.106262	20.032177
120.245529	20.038536
120.384842	20.044613
120.524193	20.050413
120.663582	20.055935
120.803017	20.061184
120.942482	20.066166
121.081985	20.070885
121.221519	20.075344
121.361092	20.079548
121.500687	20.083500
121.640305	20.087196
121.779953	20.090641
121.919624	20.093832
122.059311	20.096767
122.199013	20.099447
122.338737	20.101871
122.478470	20.104034
122.618217	20.105936
122.757980	20.107578
122.897751	20.108965
123.037529	20.110096
123.177315	20.110977
123.317108	20.111618
123.456902	20.112020
123.596703	20.112196
123.736511	20.112146
123.876312	20.111881
124.016113	20.111403
124.155907	20.110712
124.295692	20.109816
124.435478	20.108711
124.575249	20.107405
124.715004	20.105896
124.854752	20.104187
124.994484	20.102278
125.134209	20.100170
125.273911	20.097866
125.413597	20.095371
125.553261	20.092691
125.692909	20.089830
125.832542	20.086798
125.972153	20.083601
126.111740	20.080246
126.251305	20.076742
126.390839	20.073093
126.530357	20.069307
126.669846	20.065386
126.809303	20.061337
126.948730	20.057159
127.088127	20.052860
127.227501	20.048441
127.366837	20.043905
127.506134	20.039255
127.645401	20.034494
127.784637	20.029627
127.923836	20.024654
128.063004	20.019587
128.202133	20.014425
128.341232	20.009180
128.480286	20.003857
128.619308	19.998465
128.758301	19.993008
128.897247	19.987492
129.036148	19.981924
129.175018	19.976311
129.313843	19.970654
129.452637	19.964958
129.591385	19.959227
129.730103	19.953465
129.868774	19.947674
130.007401	19.941856
130.145981	19.936018
130.284531	19.930161
130.423035	19.924288
130.561493	19.918402
130.699921	19.912510
130.838287	19.906616
130.976639	19.900726
131.114929	19.894842
131.253189	19.888973
131.391418	19.883121
131.529587	19.877295
131.667725	19.871492
131.805832	19.865725
131.943893	19.859989
132.081909	19.854294
132.219879	19.848640
132.357819	19.843029
132.495728	19.837463
132.633575	19.831947
132.771408	19.826479
132.909180	19.821066
133.046936	19.815704
133.184631	19.810402
133.322311	19.805159
133.459946	19.799978
133.597549	19.794863
133.735107	19.789816
133.872635	19.784840
134.010132	19.779940
134.147598	19.775116
134.285019	19.770372
134.422409	19.765711
134.559784	19.761135
134.697113	19.756645
134.834412	19.752243
134.971680	19.747931
135.108917	19.743710
135.246124	19.739578
135.383316	19.735538
135.520462	19.731592
135.657593	19.727739
135.794693	19.723980
135.931763	19.720314
136.068802	19.716743
136.205826	19.713270
136.342834	19.709894
136.479813	19.706617
136.616760	19.703440
136.753693	19.700361
136.890594	19.697386
137.027496	19.694511
137.164352	19.691742
137.301208	19.689074
137.438049	19.686510
137.574860	19.684052
137.711655	19.681694
137.848434	19.679441
137.985199	19.677292
138.121948	19.675243
138.258698	19.673296
138.395416	19.671450
138.532120	19.669703
138.668823	19.668056
138.805511	19.666510
138.942184	19.665060
139.078857	19.663710
139.215515	19.662457
139.352158	19.661301
139.488800	19.660242
139.625427	19.659279
139.762054	19.658413
139.898682	19.657640
140.035294	19.656963
140.171906	19.656380
140.308517	19.655890
140.445114	19.655491
140.581711	19.655182
140.718323	19.654963
140.854919	19.654829
140.991516	19.654783
141.128098	19.654821
141.264694	19.654942
141.401291	19.655146
141.537903	19.655430
141.674500	19.655792
141.811096	19.656231
141.947708	19.656748
142.084305	19.657339
142.220932	19.658005
142.357544	19.658743
142.494171	19.659554
142.630798	19.660433
142.767426	19.661381
142.904068	19.662395
143.040726	19.663477
143.177383	19.664623
143.314041	19.665831
143.450714	19.667099
143.587387	19.668427
143.724091	19.669811
143.860779	19.671253
143.997498	19.672747
144.134216	19.674294
144.270935	19.675892
144.407684	19.677536
144.544434	19.679230
144.681198	19.680967
144.817978	19.682749
144.954758	19.684574
145.091568	19.686440
145.228378	19.688343
145.365204	19.690285
145.502045	19.692265
145.638901	19.694277
145.775757	19.696323
145.912643	19.698400
146.049545	19.700508
146.186447	19.702644
146.323380	19.704805
146.460312	19.706993
146.597275	19.709204
146.734238	19.711435
146.871216	19.713688
147.008224	19.715958
147.145233	19.718245
147.282272	19.720547
147.419312	19.722864
147.556381	19.725191
147.693451	19.727530
147.830551	19.729877
147.967667	19.732235
148.104782	19.734596
148.241928	19.736965
148.379089	19.739338
148.516266	19.741713
148.653458	19.744087
148.790665	19.746464
148.927887	19.748838
149.065125	19.751209
149.202393	19.753578
149.339661	19.755939
149.476944	19.758295
149.614258	19.760645
149.751572	19.762983
149.888916	19.765312
150.026260	19.767630
150.163635	19.769934
150.301010	19.772226
150.438416	19.774502
150.575836	19.776762
150.713257	19.779007
150.850708	19.781233
150.988174	19.783440
151.125641	19.785627
151.263138	19.787794
151.400635	19.789940
151.538162	19.792065
151.675690	19.794165
151.813248	19.796242
151.950806	19.798292
152.088379	19.800320
152.225967	19.802320
152.363571	19.804293
152.501190	19.806238
152.638824	19.808155
152.776474	19.810043
152.914124	19.811901
153.051788	19.813730
153.189468	19.815527
153.327164	19.817293
153.464874	19.819027
153.602585	19.820728
153.740311	19.822395
153.878052	19.824030
154.015808	19.825632
154.153564	19.827200
154.291336	19.828732
154.429123	19.830231
154.566910	19.831694
154.704712	19.833122
154.842529	19.834515
154.980347	19.835871
155.118179	19.837193
155.256012	19.838476
155.393860	19.839725
155.531708	19.840937
155.669571	19.842112
155.807449	19.843250
155.945328	19.844351
156.083206	19.845415
156.221100	19.846443
156.359009	19.847435
156.496902	19.848389
156.634827	19.849304
156.772736	19.850185
156.910660	19.851028
157.048599	19.851835
157.186523	19.852606
157.324463	19.853340
157.462418	19.854038
157.600357	19.854702
157.738312	19.855328
157.876282	19.855919
158.014236	19.856476
158.152206	19.856997
158.290161	19.857483
158.428146	19.857935
158.566116	19.858353
158.704086	19.858736
158.842072	19.859087
158.980042	19.859404
159.118027	19.859688
159.256012	19.859940
159.393997	19.860161
159.531982	19.860348
159.669983	19.860506
159.807968	19.860632
159.945953	19.860729
160.083939	19.860796
160.221939	19.860832
160.359924	19.860842
160.497910	19.860821
160.635895	19.860773
160.773895	19.860699
160.911880	19.860598
161.049866	19.860470
161.187851	19.860315
161.325836	19.860136
161.463821	19.859934
161.601791	19.859705
161.739777	19.859455
161.877747	19.859180
162.015732	19.858885
162.153702	19.858566
162.291672	19.858227
162.429642	19.857868
162.567596	19.857489
162.705566	19.857090
162.843521	19.856672
162.981476	19.856236
163.119431	19.855783
163.257370	19.855312
163.395325	19.854826
163.533264	19.854324
163.671204	19.853807
163.809128	19.853275
163.947067	19.852732
164.084991	19.852173
164.222916	19.851603
164.360825	19.851019
164.498749	19.850426
164.636658	19.849821
164.774551	19.849205
164.912460	19.848581
165.050354	19.847948
165.188248	19.847307
165.326126	19.846659
165.464005	19.846003
165.601883	19.845341
165.739761	19.844673
165.877625	19.844000
166.015488	19.843321
166.153351	19.842640
166.291199	19.841953
166.429047	19.841265
166.566879	19.840574
166.704727	19.839882
166.842560	19.839190
166.980377	19.838493
167.118210	19.837799
167.256027	19.837105
167.393829	19.836412
167.531631	19.835720
167.669434	19.835030
167.807236	19.834343
167.945023	19.833658
168.082809	19.832977
168.220596	19.832300
168.358383	19.831627
168.496155	19.830959
168.633911	19.830296
168.771683	19.829639
168.909439	19.828987
169.047195	19.828342
169.184937	19.827705
169.322678	19.827076
169.460419	19.826454
169.598160	19.825840
169.735886	19.825233
169.873611	19.824638
170.011337	19.824051
170.149048	19.823473
170.286774	19.822905
170.424469	19.822348
170.562180	19.821800
170.699890	19.821264
170.837585	19.820742
170.975281	19.820229
171.112961	19.819727
171.250656	19.819237
171.388336	19.818760
171.526016	19.818296
171.663681	19.817844
171.801361	19.817408
171.939026	19.816982
172.076691	19.816570
172.214355	19.816174
172.352020	19.815788
