** File generated by WinEP - 3/29/2018 (4:51p) **

Station 	Vx      
0.000000	19.857563
0.137531	19.751480
0.274325	19.645700
0.410385	19.540249
0.545714	19.435425
0.680318	19.331535
0.814205	19.228861
0.947384	19.127657
1.079869	19.028149
1.211673	18.930521
1.342810	18.834885
1.473296	18.741283
1.603147	18.649727
1.732376	18.560223
1.860999	18.472767
1.989030	18.387358
2.116483	18.304003
2.243370	18.222731
2.369707	18.144119
2.495513	18.067984
2.620800	17.993666
2.745576	17.920849
2.869848	17.849253
2.993621	17.778559
3.116896	17.708435
3.239674	17.638552
3.361954	17.568598
3.483732	17.498314
3.605005	17.427891
3.725790	17.361271
3.846130	17.300121
3.966078	17.245289
4.085690	17.197102
4.205020	17.155537
4.324121	17.120358
4.443034	17.091225
4.561800	17.067739
4.680452	17.049482
4.799018	17.036034
4.917521	17.026995
5.035984	17.021988
5.154425	17.020678
5.272864	17.022758
5.391317	17.027966
5.509802	17.036066
5.628336	17.046854
5.746935	17.060146
5.865616	17.075785
5.984396	17.093626
6.103289	17.113537
6.222312	17.135405
6.341481	17.159122
6.460809	17.184595
6.580312	17.211735
6.700002	17.240145
6.819887	17.268980
6.939968	17.297897
7.060246	17.326752
7.180720	17.355471
7.301389	17.384018
7.422250	17.412371
7.543303	17.440516
7.664544	17.468445
7.785972	17.496151
7.907586	17.523632
8.029385	17.550882
8.151365	17.577898
8.273527	17.604670
8.395870	17.631187
8.518392	17.657444
8.641092	17.683441
8.763971	17.709179
8.887028	17.734659
9.010262	17.759884
9.133672	17.784859
9.257257	17.809587
9.381015	17.834072
9.504946	17.858320
9.629046	17.882330
9.753315	17.906103
9.877748	17.929636
10.002346	17.952927
10.127103	17.975973
10.252019	17.998774
10.377091	18.021328
10.502317	18.043633
10.627695	18.065685
10.753223	18.087482
10.878901	18.109022
11.004726	18.130304
11.130698	18.151333
11.256815	18.172113
11.383077	18.192657
11.509480	18.212976
11.636026	18.233078
11.762712	18.252974
11.889537	18.272671
12.016499	18.292173
12.143596	18.311483
12.270826	18.330603
12.398189	18.349527
12.525681	18.368256
12.653301	18.386784
12.781050	18.405109
12.908922	18.423227
13.036919	18.441130
13.165038	18.458815
13.293280	18.476276
13.421641	18.493519
13.550122	18.510548
13.678721	18.527367
13.807439	18.543985
13.936271	18.560413
14.065219	18.576656
14.194280	18.592724
14.323452	18.608622
14.452734	18.624352
14.582126	18.639917
14.711624	18.655317
14.841228	18.670553
14.970937	18.685621
15.100748	18.700521
15.230661	18.715246
15.360675	18.729795
15.490788	18.744165
15.621000	18.758352
15.751310	18.772356
15.881717	18.786180
16.012218	18.799828
16.142817	18.813305
16.273508	18.826620
16.404293	18.839779
16.535170	18.852789
16.666136	18.865656
16.797194	18.878382
16.928337	18.890968
17.059568	18.903416
17.190884	18.915724
17.322285	18.927891
17.453768	18.939917
17.585335	18.951797
17.716982	18.963530
17.848709	18.975113
17.980516	18.986544
18.112402	18.997824
18.244366	19.008955
18.376408	19.019939
18.508526	19.030785
18.640718	19.041494
18.772987	19.052076
18.905329	19.062534
19.037745	19.072874
19.170231	19.083094
19.302788	19.093199
19.435413	19.103188
19.568108	19.113060
19.700871	19.122816
19.833700	19.132456
19.966595	19.141973
20.099554	19.151371
20.232578	19.160645
20.365667	19.169796
20.498819	19.178823
20.632032	19.187729
20.765308	19.196518
20.898645	19.205191
21.032043	19.213755
21.165501	19.222214
21.299017	19.230570
21.432590	19.238829
21.566223	19.246990
21.699911	19.255056
21.833652	19.263027
21.967451	19.270903
22.101303	19.278681
22.235207	19.286364
22.369165	19.293947
22.503174	19.301430
22.637234	19.308813
22.771345	19.316093
22.905508	19.323277
23.039719	19.330360
23.173981	19.337349
23.308290	19.344246
23.442648	19.351055
23.577053	19.357780
23.711504	19.364424
23.846003	19.370987
23.980545	19.377474
24.115133	19.383881
24.249765	19.390209
24.384441	19.396461
24.519159	19.402634
24.653919	19.408728
24.788721	19.414742
24.923563	19.420671
25.058447	19.426521
25.193371	19.432291
25.328335	19.437979
25.463339	19.443588
25.598381	19.449123
25.733463	19.454586
25.868582	19.459978
26.003738	19.465302
26.138933	19.470562
26.274162	19.475758
26.409430	19.480890
26.544731	19.485958
26.680067	19.490967
26.815437	19.495911
26.950842	19.500790
27.086279	19.505606
27.221748	19.510357
27.357252	19.515041
27.492788	19.519661
27.628355	19.524214
27.763954	19.528704
27.899584	19.533131
28.035244	19.537498
28.170935	19.541809
28.306656	19.546062
28.442408	19.550264
28.578188	19.554415
28.713997	19.558512
28.849833	19.562561
28.985699	19.566559
29.121590	19.570505
29.257509	19.574404
29.393456	19.578249
29.529427	19.582043
29.665424	19.585783
29.801449	19.589472
29.937498	19.593107
30.073572	19.596691
30.209671	19.600224
30.345795	19.603708
30.481943	19.607145
30.618114	19.610537
30.754311	19.613884
30.890530	19.617191
31.026772	19.620457
31.163036	19.623682
31.299322	19.626865
31.435631	19.630011
31.571960	19.633116
31.708311	19.636179
31.844683	19.639202
31.981075	19.642183
32.117489	19.645123
32.253922	19.648020
32.390377	19.650875
32.526848	19.653690
32.663342	19.656464
32.799854	19.659201
32.936386	19.661900
33.072933	19.664562
33.209503	19.667192
33.346088	19.669790
33.482693	19.672354
33.619316	19.674887
33.755955	19.677387
33.892612	19.679855
34.029285	19.682291
34.165977	19.684696
34.302685	19.687067
34.439407	19.689405
34.576145	19.691710
34.712902	19.693981
34.849670	19.696218
34.986458	19.698423
35.123257	19.700598
35.260075	19.702744
35.396908	19.704859
35.533752	19.706947
35.670612	19.709009
35.807487	19.711044
35.944378	19.713055
36.081280	19.715040
36.218197	19.716999
36.355129	19.718935
36.492069	19.720844
36.629028	19.722727
