** File generated by WinEP - 3/26/2018 (11:26a) **

Station 	Vx      
100.000000	39.973137
100.277466	39.934650
100.554733	39.896225
100.831833	39.861816
101.108810	39.836102
101.385719	39.822430
101.662621	39.821362
101.939560	39.831558
102.216583	39.850113
102.493713	39.872574
102.770966	39.894024
103.048302	39.909988
103.325684	39.917343
103.603050	39.914799
103.880363	39.902939
104.157570	39.884430
104.434662	39.863251
104.711647	39.843540
104.988541	39.828918
105.265381	39.821735
105.542213	39.822731
105.819077	39.831116
106.095993	39.844620
106.372978	39.860188
106.650024	39.874489
106.927116	39.884537
107.204216	39.888321
107.481308	39.885292
107.758362	39.876278
108.035347	39.863102
108.312271	39.848366
108.589134	39.834858
108.865952	39.825008
109.142738	39.820419
109.419533	39.821487
109.696342	39.827377
109.973198	39.836437
110.250092	39.846539
110.527023	39.855427
110.803986	39.861191
111.080948	39.862617
111.357903	39.859470
111.634819	39.852489
111.911697	39.843117
112.188522	39.833138
112.465309	39.824387
112.742058	39.818329
113.018791	39.815773
113.295517	39.816742
113.572258	39.820621
113.849014	39.826275
114.125793	39.832291
114.402588	39.837257
114.679398	39.840050
114.956207	39.840019
115.233009	39.837120
115.509781	39.831894
115.786522	39.825321
116.063232	39.818592
116.339912	39.812843
116.616570	39.808933
116.893211	39.807289
117.169846	39.807888
117.446495	39.810265
117.723152	39.813637
117.999817	39.817074
118.276497	39.819691
118.553185	39.820824
118.829865	39.820148
119.106529	39.817711
119.383179	39.813889
119.659798	39.809326
119.936401	39.804764
120.212982	39.800888
120.489548	39.798218
120.766098	39.796986
121.042648	39.797131
121.319191	39.798313
121.595741	39.800022
121.872299	39.801674
122.148857	39.802746
122.425415	39.802876
122.701965	39.801903
122.978508	39.799900
123.255028	39.797138
123.531540	39.794014
123.808029	39.790958
124.084511	39.788357
124.360977	39.786476
124.637428	39.785416
124.913879	39.785107
125.190323	39.785343
125.466766	39.785831
125.743210	39.786255
126.019653	39.786331
126.296089	39.785877
126.572517	39.784821
126.848938	39.783215
127.125343	39.781219
127.401741	39.779049
127.678123	39.776943
127.954498	39.775093
128.230850	39.773602
128.507202	39.772446
128.783554	39.771564
129.059891	39.770863
129.336212	39.770241
129.612534	39.769596
129.888840	39.768856
130.165161	39.767952
130.441452	39.766846
130.717743	39.765518
130.994034	39.763973
131.270294	39.762226
131.546555	39.760303
131.822800	39.758247
132.099030	39.756092
132.375244	39.753880
132.651428	39.751637
132.927612	39.749393
133.203766	39.747162
133.479919	39.744957
133.756042	39.742783
134.032166	39.740643
134.308258	39.738529
134.584351	39.736443
134.860428	39.734375
135.136475	39.732323
135.412521	39.730286
135.688538	39.728256
135.964554	39.726231
136.240555	39.724205
136.516541	39.722183
136.792511	39.720165
137.068466	39.718147
137.344406	39.716133
137.620331	39.714123
137.896240	39.712120
138.172134	39.710129
138.448013	39.708145
138.723877	39.706177
138.999741	39.704216
139.275574	39.702271
139.551392	39.700336
139.827209	39.698414
140.102997	39.696503
140.378784	39.694599
140.654556	39.692707
140.930313	39.690826
141.206055	39.688953
141.481781	39.687088
141.757492	39.685230
142.033188	39.683384
142.308884	39.681541
142.584549	39.679710
142.860214	39.677883
143.135864	39.676064
143.411499	39.674255
143.687119	39.672451
143.962723	39.670654
144.238327	39.668865
144.513901	39.667084
144.789474	39.665314
145.065033	39.663544
145.340576	39.661785
145.616104	39.660034
145.891632	39.658287
146.167130	39.656548
146.442627	39.654816
146.718109	39.653088
146.993576	39.651367
147.269028	39.649651
147.544479	39.647942
147.819901	39.646240
148.095322	39.644547
148.370728	39.642857
148.646118	39.641171
148.921509	39.639496
149.196869	39.637825
149.472229	39.636162
149.747574	39.634506
150.022903	39.632854
150.298233	39.631210
150.573532	39.629574
150.848831	39.627945
151.124115	39.626324
151.399399	39.624710
151.674652	39.623100
151.949905	39.621502
152.225143	39.619907
152.500366	39.618320
152.775589	39.616741
153.050797	39.615170
153.325989	39.613605
153.601166	39.612049
153.876328	39.610500
154.151489	39.608959
154.426636	39.607426
154.701782	39.605896
154.976898	39.604378
155.252014	39.602867
155.527115	39.601364
155.802216	39.599869
156.077286	39.598381
156.352356	39.596901
156.627426	39.595432
156.902466	39.593967
157.177505	39.592510
157.452530	39.591064
157.727554	39.589626
158.002563	39.588192
158.277557	39.586769
158.552536	39.585358
158.827515	39.583950
159.102478	39.582550
159.377441	39.581161
159.652374	39.579781
159.927322	39.578407
160.202240	39.577042
160.477158	39.575687
160.752060	39.574337
161.026962	39.572998
161.301834	39.571663
161.576721	39.570339
161.851578	39.569023
162.126434	39.567715
162.401276	39.566414
162.676117	39.565125
