** File generated by WinEP - 3/29/2018 (10:45a) **

Station 	Vx      
100.000000	19.986568
100.138672	19.949604
100.277115	19.912958
100.415352	19.878248
100.553421	19.848818
100.691360	19.828045
100.829239	19.818298
100.967117	19.820496
101.105072	19.833897
101.243164	19.856398
101.381424	19.884781
101.519867	19.914774
101.658470	19.941580
101.797195	19.961248
101.935974	19.971670
102.074745	19.971802
102.213455	19.961739
102.352051	19.942392
102.490471	19.915367
102.628693	19.883621
102.766693	19.851923
102.904510	19.825163
103.042198	19.807205
103.179825	19.800508
103.317482	19.805931
103.455246	19.822639
103.593163	19.848448
103.731285	19.879772
103.869621	19.912060
104.008141	19.940327
104.146790	19.960451
104.285507	19.970352
104.424217	19.969128
104.562874	19.956970
104.701408	19.935007
104.839783	19.905100
104.977936	19.870911
105.115875	19.837761
105.253624	19.810705
105.391251	19.793491
105.528831	19.788441
105.666451	19.796131
105.804184	19.815487
105.942085	19.843933
106.080200	19.877457
106.218529	19.911270
106.357048	19.940172
106.495689	19.960030
106.634392	19.968824
106.773079	19.965824
106.911690	19.951351
107.050163	19.926737
107.188446	19.894163
107.326500	19.858051
107.464333	19.824112
107.601982	19.797358
107.739510	19.781389
107.877007	19.778316
108.014565	19.788403
108.152252	19.810320
108.290123	19.841034
108.428215	19.876232
108.566536	19.910919
108.705040	19.939728
108.843666	19.958633
108.982346	19.965736
109.121002	19.960489
109.259560	19.943392
109.397972	19.915987
109.536171	19.880943
109.674126	19.843483
109.811859	19.809530
109.949417	19.783886
110.086868	19.769962
110.224304	19.769527
110.361816	19.782515
110.499466	19.807220
110.637329	19.840122
110.775414	19.876673
110.913727	19.911646
111.052223	19.939585
111.190826	19.956730
111.329475	19.961397
111.468079	19.953266
111.606567	19.933079
111.744888	19.902617
111.882980	19.865364
112.020828	19.827244
112.158455	19.794136
112.295914	19.770540
112.433289	19.759563
112.570679	19.762508
112.708153	19.778954
112.845795	19.806623
112.983658	19.841568
113.121750	19.879005
113.260063	19.913490
113.398552	19.939611
113.537140	19.954037
113.675735	19.955397
113.814278	19.943649
113.952690	19.919844
114.090897	19.886154
114.228874	19.847214
114.366592	19.809364
114.504105	19.778152
114.641479	19.757725
114.778793	19.750704
114.916138	19.757868
115.053604	19.778284
115.191246	19.808983
115.329124	19.845709
115.467232	19.883356
115.605560	19.916380
115.744041	19.939602
115.882599	19.950258
116.021141	19.947371
116.159607	19.931244
116.297905	19.903296
116.435989	19.866535
116.573822	19.826757
116.711418	19.790297
116.848816	19.762184
116.986107	19.746105
117.123367	19.744028
117.260696	19.756186
117.398163	19.780849
117.535835	19.814476
117.673744	19.852436
117.811882	19.889399
117.950226	19.919815
118.088699	19.938993
118.227211	19.944818
118.365692	19.936790
118.504059	19.915611
118.642235	19.883242
118.780167	19.844114
118.917847	19.804707
119.055305	19.770884
119.192596	19.747147
119.329819	19.736523
119.467049	19.740278
119.604378	19.757915
119.741875	19.786791
119.879585	19.822922
120.017540	19.861263
120.155716	19.896441
120.294075	19.922970
120.432526	19.936943
120.570992	19.936949
120.709389	19.923012
120.847633	19.896294
120.985657	19.859882
121.123428	19.819637
121.260948	19.782021
121.398277	19.752209
121.535484	19.734087
121.672653	19.729879
121.809868	19.740126
121.947220	19.763275
122.084755	19.796021
122.222534	19.833807
122.360542	19.871429
122.498756	19.903486
122.637123	19.924784
122.775551	19.932472
122.913948	19.925814
123.052231	19.905394
123.190323	19.873140
123.328178	19.833891
123.465775	19.794195
123.603149	19.759874
123.740364	19.735470
123.877495	19.724051
124.014633	19.727041
124.151863	19.743980
124.289253	19.772299
124.426865	19.808088
124.564705	19.846375
124.702774	19.881918
124.841026	19.909323
124.979385	19.924139
125.117760	19.924603
125.256065	19.910664
125.394211	19.883495
125.532135	19.846682
125.669807	19.806421
125.807236	19.769035
125.944473	19.739580
126.081589	19.721842
126.218674	19.718018
126.355804	19.728607
126.493073	19.751900
126.630531	19.784639
126.768211	19.822235
126.906128	19.859615
127.044258	19.891478
127.182533	19.912666
127.320862	19.919931
127.459167	19.912462
127.597351	19.890892
127.735336	19.857588
127.873070	19.818075
128.010559	19.778891
128.147827	19.745558
128.284943	19.722427
128.421997	19.712387
128.559052	19.716751
128.696213	19.734711
128.833542	19.763659
128.971069	19.799530
129.108841	19.837448
129.246841	19.872257
129.385010	19.898708
129.523285	19.912327
129.661560	19.911215
129.799759	19.895409
129.937790	19.866446
130.075592	19.828791
130.213135	19.788923
130.350449	19.752792
130.487579	19.725178
130.624603	19.709578
130.761612	19.707998
130.898682	19.720512
131.035889	19.745165
131.173294	19.778505
131.310928	19.815929
131.448776	19.852446
131.586838	19.882849
131.725037	19.902191
131.863281	19.907253
132.001480	19.897278
132.139542	19.873180
132.277390	19.838333
132.414993	19.798796
132.552353	19.760853
132.689499	19.729633
132.826523	19.709141
132.963501	19.701996
133.100494	19.709078
133.237610	19.729107
133.374893	19.759277
133.512375	19.795357
133.650101	19.832544
133.788040	19.865744
133.926147	19.889908
134.064346	19.900829
134.202530	19.896700
134.340607	19.877781
134.478500	19.846558
134.616150	19.808302
134.753555	19.769461
134.890747	19.735477
135.027771	19.710762
135.164719	19.698481
135.301666	19.700212
135.438690	19.715420
135.575867	19.741899
135.713226	19.775902
135.850830	19.812872
135.988647	19.847855
136.126648	19.875799
136.264771	19.892109
136.402924	19.893803
136.541016	19.880318
136.678940	19.853340
136.816650	19.817314
136.954102	19.778454
137.091324	19.742535
137.228378	19.714275
137.365311	19.697309
137.502213	19.693844
137.639175	19.704077
137.776245	19.726421
137.913498	19.757687
138.050964	19.793623
138.188660	19.829470
138.326553	19.860241
138.464600	19.881208
138.602707	19.888594
138.740784	19.880768
138.878738	19.858604
139.016495	19.825737
139.153992	19.787802
139.291275	19.750799
139.428345	19.719700
139.565292	19.698530
139.702164	19.690052
139.839066	19.695192
139.976059	19.712957
140.113205	19.740818
140.250565	19.774906
140.388123	19.810715
140.525909	19.843390
140.663849	19.868153
140.801895	19.880894
140.939957	19.879017
141.077927	19.862389
141.215714	19.833691
141.353287	19.797861
141.490616	19.760775
141.627747	19.727625
141.764709	19.702749
141.901581	19.689396
142.038437	19.689182
142.175354	19.701801
142.312408	19.725410
142.449646	19.756645
142.587082	19.791365
142.724747	19.824926
142.862579	19.852617
143.000549	19.870157
143.138550	19.874352
143.276520	19.864044
143.414352	19.840755
143.551987	19.808474
143.689392	19.772635
143.826584	19.738525
143.963593	19.710672
144.100479	19.692728
144.237320	19.686947
144.374207	19.693779
144.511169	19.712109
144.648300	19.739258
144.785614	19.771557
144.923126	19.804722
145.060837	19.834232
145.198700	19.855768
145.336655	19.865784
145.474594	19.862257
145.612442	19.845470
145.750137	19.818218
145.887619	19.785215
146.024887	19.751614
146.161957	19.721987
146.298889	19.700233
146.435745	19.689137
146.572601	19.689903
146.709518	19.702143
146.846542	19.724037
146.983734	19.752499
147.121124	19.783760
147.258698	19.813631
147.396439	19.837929
147.534286	19.852951
147.672180	19.856060
147.810028	19.846430
147.947754	19.825577
148.085297	19.797049
148.222656	19.765625
148.359818	19.735785
148.496811	19.711475
148.633713	19.695835
148.770569	19.690712
148.907455	19.696507
149.044418	19.712236
149.181503	19.735573
149.318756	19.763376
149.456192	19.791948
149.593796	19.817413
149.731522	19.836107
149.869324	19.845066
150.007141	19.842632
150.144882	19.829016
150.282486	19.806522
150.419907	19.778946
150.557159	19.750608
150.694244	19.725325
150.831207	19.706377
150.968109	19.696087
151.104980	19.695583
151.241898	19.704689
151.378906	19.721966
151.516052	19.744970
151.653351	19.770639
151.790802	19.795544
151.928391	19.816259
152.066086	19.829741
152.203827	19.833788
152.341553	19.827585
152.479172	19.812109
152.616669	19.789986
152.753998	19.764818
152.891174	19.740255
153.028229	19.719524
153.165176	19.705235
153.302063	19.699076
153.438965	19.701664
153.575928	19.712421
153.712982	19.729694
153.850159	19.751125
153.987473	19.773863
154.124924	19.794861
154.262497	19.811203
154.400131	19.820459
154.537796	19.821085
154.675415	19.812904
154.812943	19.797285
154.950348	19.776846
155.087601	19.754723
155.224731	19.733942
155.361755	19.717186
155.498703	19.706533
155.635620	19.703236
155.772552	19.707510
155.909531	19.718561
156.046616	19.734760
156.183807	19.753923
156.321121	19.773497
156.458542	19.790859
156.596069	19.803596
156.733643	19.809811
156.871216	19.808456
157.008759	19.799740
157.146194	19.785130
157.283539	19.767027
157.420746	19.748045
157.557846	19.730692
157.694870	19.717192
157.831818	19.709211
157.968750	19.707649
158.105698	19.712484
158.242706	19.722874
158.379807	19.737329
158.516998	19.753908
158.654297	19.770393
158.791687	19.784594
158.929138	19.794546
159.066650	19.798780
159.204147	19.796597
159.341599	19.788355
159.478973	19.775436
159.616257	19.759903
159.753448	19.743900
159.890533	19.729515
160.027542	19.718578
160.164505	19.712425
160.301468	19.711699
160.438431	19.716282
160.575455	19.725403
160.712540	19.737774
160.849716	19.751724
160.986984	19.765392
161.124329	19.776968
161.261734	19.784883
161.399155	19.788004
161.536591	19.785818
161.673981	19.778698
161.811295	19.767809
161.948547	19.754818
162.085693	19.741488
162.222778	19.729551
162.359802	19.720520
162.496780	19.715471
162.633743	19.714901
162.770721	19.718704
162.907745	19.726250
163.044830	19.736467
163.181992	19.747974
163.319214	19.759232
163.456497	19.768751
163.593842	19.775282
163.731201	19.777929
163.868561	19.776295
164.005890	19.770639
164.143173	19.761858
164.280380	19.751223
164.417526	19.740171
164.554596	19.730152
164.691620	19.722420
164.828613	19.717894
164.965591	19.717012
165.102570	19.719749
165.239594	19.725639
165.376663	19.733839
165.513779	19.743227
165.650955	19.752546
165.788193	19.760563
165.925476	19.766232
166.062775	19.768827
166.200073	19.768015
166.337357	19.763916
166.474594	19.757122
166.611786	19.748571
166.748917	19.739420
166.886002	19.730869
167.023026	19.723997
167.160019	19.719622
167.296997	19.718191
167.433975	19.719780
167.570984	19.724089
167.708023	19.730488
167.845123	19.738096
167.982254	19.745886
168.119446	19.752823
168.256668	19.758001
168.393906	19.760752
168.531158	19.760735
168.668396	19.757963
168.805603	19.752819
168.942764	19.745998
169.079880	19.738415
169.216949	19.731062
169.353973	19.724874
169.490982	19.720594
169.627960	19.718689
169.764938	19.719320
169.901932	19.722326
170.038940	19.727253
170.176010	19.733416
170.313110	19.739979
170.450241	19.746063
170.587418	19.750872
170.724609	19.753780
170.861816	19.754423
170.999008	19.752728
171.136185	19.748924
171.273331	19.743519
171.410431	19.737230
171.547501	19.730877
171.684525	19.725267
171.821518	19.721085
171.958496	19.718803
172.095459	19.718653
172.232452	19.720587
172.369446	19.724298
172.506470	19.729259
172.643539	19.734795
172.780640	19.740160
172.917770	19.744646
173.054916	19.747667
173.192078	19.748837
173.329239	19.748016
173.466385	19.745317
173.603516	19.741098
173.740601	19.735912
173.877655	19.730431
174.014679	19.725349
174.151672	19.721294
174.288651	19.718742
174.425613	19.717966
174.562576	19.719015
174.699554	19.721701
174.836563	19.725634
174.973602	19.730268
175.110657	19.734982
175.247757	19.739145
175.384872	19.742212
175.521988	19.743790
175.659119	19.743675
175.796234	19.741894
175.933334	19.738682
176.070419	19.734457
176.207458	19.729761
176.344482	19.725193
176.481461	19.721317
176.618439	19.718599
176.755402	19.717348
176.892349	19.717674
177.029312	19.719494
177.166306	19.722532
177.303314	19.726364
177.440338	19.730465
177.577393	19.734287
177.714478	19.737326
177.851563	19.739187
177.988663	19.739632
178.125763	19.738609
178.262833	19.736254
178.399902	19.732874
178.536942	19.728901
178.673950	19.724842
178.810928	19.721199
178.947891	19.718418
179.084839	19.716822
179.221786	19.716576
179.358749	19.717674
179.495712	19.719938
179.632690	19.723043
179.769699	19.726563
179.906723	19.730021
180.043777	19.732960
180.180832	19.734995
180.317902	19.735863
180.454971	19.735456
180.592026	19.733829
180.729080	19.731194
180.866104	19.727888
181.003098	19.724333
181.140091	19.720972
181.277039	19.718218
181.413986	19.716396
181.550934	19.715710
181.687866	19.716213
181.824814	19.717810
181.961777	19.720261
182.098770	19.723228
182.235764	19.726305
182.372787	19.729084
182.509827	19.731197
182.646866	19.732368
182.783905	19.732450
182.920944	19.731436
183.057983	19.729456
183.194992	19.726765
183.331985	19.723705
183.468964	19.720659
183.605911	19.718006
183.742859	19.716063
183.879791	19.715054
184.016724	19.715078
184.153656	19.716106
184.290604	19.717976
184.427567	19.720423
184.564545	19.723112
184.701538	19.725681
184.838547	19.727789
184.975571	19.729162
185.112595	19.729622
185.249603	19.729111
185.386627	19.727699
185.523621	19.725567
185.660614	19.722986
185.797577	19.720282
185.934525	19.717789
186.071472	19.715811
186.208389	19.714581
186.345322	19.714233
186.482239	19.714787
186.619171	19.716145
186.756119	19.718111
186.893082	19.720411
187.030060	19.722736
187.167038	19.724775
187.304031	19.726259
187.441040	19.726997
187.578049	19.726894
187.715042	19.725967
187.852036	19.724337
187.989014	19.722210
188.125977	19.719854
188.262924	19.717567
188.399857	19.715628
188.536774	19.714266
188.673691	19.713640
188.810608	19.713808
188.947525	19.714725
189.084457	19.716255
189.221405	19.718180
189.358353	19.720240
189.495331	19.722157
189.632309	19.723677
189.769287	19.724606
189.906281	19.724823
190.043259	19.724302
190.180237	19.723114
190.317200	19.721407
190.454163	19.719402
190.591110	19.717350
190.728027	19.715504
190.864960	19.714088
191.001862	19.713268
191.138779	19.713133
191.275696	19.713678
191.412613	19.714819
191.549530	19.716389
191.686478	19.718174
191.823425	19.719933
191.960388	19.721432
192.097351	19.722477
192.234329	19.722933
192.371292	19.722744
192.508270	19.721937
192.645218	19.720615
192.782181	19.718948
192.919113	19.717148
193.056046	19.715439
193.192963	19.714029
193.329865	19.713089
193.466766	19.712723
193.603683	19.712965
193.740585	19.713766
193.877502	19.715008
194.014435	19.716520
194.151367	19.718098
194.288315	19.719530
194.425262	19.720631
194.562225	19.721256
194.699188	19.721331
194.836136	19.720846
194.973099	19.719866
195.110031	19.718519
195.246964	19.716976
195.383896	19.715431
