** File generated by WinEP - 3/29/2018 (5:24p) **

Station 	Vx      
0.000000	19.857510
0.137512	19.748045
0.274268	19.643137
0.410358	19.551437
0.545941	19.479168
0.681195	19.428759
0.816277	19.400621
0.951315	19.393358
1.086406	19.404455
1.221625	19.430914
1.357036	19.469124
1.492691	19.515034
1.628624	19.564831
1.764856	19.615034
1.901380	19.661167
2.038154	19.698368
2.175099	19.722982
2.312118	19.732700
2.449101	19.727152
2.585952	19.708221
2.722599	19.679550
2.859003	19.645353
2.995159	19.610210
3.131094	19.578337
3.266851	19.552315
3.402481	19.533737
3.538036	19.523457
3.673571	19.521687
3.809138	19.528000
3.944790	19.541435
4.080572	19.560633
4.216520	19.583939
4.352657	19.609539
4.488987	19.634869
4.625490	19.657059
4.762125	19.673641
4.898838	19.682911
5.035568	19.684145
5.172259	19.677691
5.308866	19.664848
5.445356	19.647564
5.581714	19.628235
5.717941	19.609428
5.854054	19.593538
5.990081	19.582186
6.126054	19.576181
6.262008	19.575798
6.397978	19.580854
6.533998	19.590799
6.670099	19.604742
6.806306	19.621077
6.942628	19.637690
7.079058	19.652449
7.215574	19.663534
7.352142	19.669682
7.488726	19.670319
7.625288	19.665615
7.761799	19.656385
7.898236	19.643951
8.034586	19.629986
8.170847	19.616306
8.307030	19.604650
8.443152	19.596457
8.579242	19.592606
8.715325	19.593374
8.851434	19.598616
8.987593	19.607645
9.123822	19.619215
9.260131	19.631752
9.396520	19.643579
9.532973	19.653168
9.669473	19.659351
9.805992	19.661467
9.942505	19.659407
10.078987	19.653582
10.215421	19.644852
10.351791	19.634405
10.488093	19.623621
10.624330	19.613884
10.760512	19.606421
10.896659	19.602137
11.032793	19.601511
11.168940	19.604544
11.305120	19.610750
11.441354	19.619246
11.577648	19.628849
11.714005	19.638264
11.850418	19.646257
11.986870	19.651831
12.123343	19.654352
12.259816	19.653610
12.396271	19.649813
12.532691	19.643532
12.669065	19.635641
12.805386	19.627184
12.941654	19.619255
13.077878	19.612860
13.214070	19.608784
13.350246	19.607502
13.486426	19.609116
13.622628	19.613346
13.758867	19.619579
13.895153	19.626945
14.031487	19.634449
14.167868	19.641100
14.304282	19.646059
14.440719	19.648743
14.577160	19.648886
14.713591	19.646551
14.849997	19.642117
14.986369	19.636206
15.122701	19.629612
15.258991	19.623196
15.395244	19.617773
15.531468	19.614017
15.667677	19.612377
15.803885	19.613010
15.940106	19.615782
16.076353	19.620277
16.212635	19.625866
16.348955	19.631786
16.485312	19.637257
16.621698	19.641577
16.758106	19.644224
16.894520	19.644917
17.030930	19.643625
17.167324	19.640579
17.303694	19.636215
17.440031	19.631126
17.576336	19.625984
17.712610	19.621449
17.848862	19.618086
17.985096	19.616304
18.121326	19.616295
18.257565	19.618015
18.393820	19.621199
18.530100	19.625393
18.666412	19.630022
18.802752	19.634472
18.939117	19.638168
19.075500	19.640656
19.211895	19.641653
19.348286	19.641079
19.484669	19.639055
19.621033	19.635883
19.757374	19.631998
19.893688	19.627916
20.029980	19.624168
20.166248	19.621223
20.302504	19.619446
20.438753	19.619034
20.575005	19.620010
20.711269	19.622210
20.847551	19.625315
20.983856	19.628899
21.120186	19.632479
21.256536	19.635593
21.392902	19.637850
21.529278	19.638987
21.665655	19.638891
21.802025	19.637613
21.938385	19.635351
22.074726	19.632421
22.211048	19.629215
22.347349	19.626152
22.483633	19.623623
22.619904	19.621941
22.756168	19.621300
22.892433	19.621759
23.028706	19.623230
23.164991	19.625494
23.301294	19.628237
23.437614	19.631088
23.573954	19.633675
23.710306	19.635670
23.846666	19.636833
23.983030	19.637041
24.119392	19.636295
24.255745	19.634720
24.392086	19.632540
24.528412	19.630049
24.664721	19.627575
24.801016	19.625437
24.937300	19.623901
25.073576	19.623152
25.209850	19.623266
25.346130	19.624205
25.482420	19.625826
25.618721	19.627901
25.755037	19.630146
25.891367	19.632269
26.027710	19.633993
26.164061	19.635111
26.300415	19.635498
26.436768	19.635124
26.573114	19.634060
26.709454	19.632462
26.845781	19.630547
26.982096	19.628572
27.118399	19.626791
27.254692	19.625429
27.390978	19.624651
27.527262	19.624542
27.663548	19.625101
27.799841	19.626236
27.936142	19.627785
28.072456	19.629534
28.208780	19.631252
28.345114	19.632719
28.481455	19.633749
28.617802	19.634226
28.754147	19.634104
28.890490	19.633415
29.026827	19.632265
29.163155	19.630812
29.299473	19.629251
29.435781	19.627789
29.572081	19.626606
29.708376	19.625851
29.844667	19.625610
29.980959	19.625902
30.117254	19.626675
30.253557	19.627811
30.389870	19.629160
30.526190	19.630537
30.662518	19.631763
30.798853	19.632685
30.935192	19.633192
31.071531	19.633234
31.207870	19.632814
31.344204	19.632004
31.480532	19.630917
31.616852	19.629698
31.753164	19.628510
31.889469	19.627501
32.025768	19.626801
32.162067	19.626492
32.298363	19.626600
32.434666	19.627106
32.570969	19.627928
32.707279	19.628954
32.843597	19.630045
32.979919	19.631056
33.116249	19.631861
33.252583	19.632360
33.388920	19.632502
33.525253	19.632275
33.661587	19.631718
33.797913	19.630915
33.934235	19.629974
34.070549	19.629019
34.206860	19.628174
34.343163	19.627546
34.479465	19.627209
34.615765	19.627199
34.752068	19.627510
34.888374	19.628094
35.024685	19.628864
35.160999	19.629719
35.297321	19.630543
35.433647	19.631231
35.569977	19.631701
35.706310	19.631895
35.842640	19.631800
35.978970	19.631432
36.115295	19.630848
36.251617	19.630131
36.387936	19.629372
36.524246	19.628674
36.660553	19.628122
36.796860	19.627787
36.933167	19.627705
37.069469	19.627878
37.205776	19.628279
37.342087	19.628851
37.478401	19.629513
37.614723	19.630177
37.751045	19.630756
37.887371	19.631182
38.023701	19.631399
38.160027	19.631390
38.296356	19.631159
38.432678	19.630745
38.569000	19.630203
38.705318	19.629608
38.841633	19.629038
38.977947	19.628565
39.114254	19.628246
39.250561	19.628122
39.386868	19.628202
39.523178	19.628469
39.659489	19.628885
39.795803	19.629393
39.932121	19.629921
40.068443	19.630404
40.204765	19.630777
40.341091	19.630999
40.477417	19.631044
40.613743	19.630911
40.750065	19.630623
40.886387	19.630220
41.022709	19.629759
41.159023	19.629297
41.295338	19.628899
41.431648	19.628609
41.567955	19.628466
41.704266	19.628483
41.840576	19.628653
41.976887	19.628950
42.113201	19.629333
42.249519	19.629749
42.385838	19.630144
42.522160	19.630466
42.658485	19.630678
42.794807	19.630754
42.931133	19.630690
43.067455	19.630497
43.203777	19.630201
43.340096	19.629848
43.476414	19.629480
43.612728	19.629148
43.749039	19.628891
43.885349	19.628744
44.021660	19.628719
44.157974	19.628820
44.294285	19.629028
44.430599	19.629313
44.566917	19.629637
44.703236	19.629957
44.839554	19.630232
44.975876	19.630426
45.112198	19.630518
45.248524	19.630499
45.384842	19.630375
45.521164	19.630163
45.657482	19.629894
45.793800	19.629604
45.930119	19.629332
46.066429	19.629108
46.202744	19.628967
46.339058	19.628920
46.475368	19.628969
46.611683	19.629110
46.747997	19.629320
46.884312	19.629570
47.020630	19.629826
47.156948	19.630054
47.293270	19.630228
47.429592	19.630325
47.565914	19.630335
47.702232	19.630260
47.838554	19.630112
47.974873	19.629911
48.111191	19.629684
48.247509	19.629463
48.383823	19.629274
48.520138	19.629143
48.656448	19.629084
48.792763	19.629101
48.929077	19.629192
